"","Day","Type","Value"
"1","Monday","EMERGENCY",0
"2","Monday","FMLA",4
"3","Monday","LEAVE",0
"4","Monday","SICK",0
"5","Monday","VACATION",0
"6","Tuesday","EMERGENCY",0
"7","Tuesday","FMLA",4
"8","Tuesday","LEAVE",0
"9","Tuesday","SICK",0
"10","Tuesday","VACATION",0
"11","Wednesday","EMERGENCY",0
"12","Wednesday","FMLA",3
"13","Wednesday","LEAVE",1
"14","Wednesday","SICK",0
"15","Wednesday","VACATION",0
"16","Thursday","EMERGENCY",0
"17","Thursday","FMLA",3
"18","Thursday","LEAVE",1
"19","Thursday","SICK",0
"20","Thursday","VACATION",0
"21","Friday","EMERGENCY",0
"22","Friday","FMLA",3
"23","Friday","LEAVE",1
"24","Friday","SICK",0
"25","Friday","VACATION",0
