"","Day","Type","Value"
"1","Monday","EMERGENCY",0
"2","Monday","FMLA",0
"3","Monday","LEAVE",3
"4","Monday","SICK",0
"5","Monday","VACATION",3
"6","Tuesday","EMERGENCY",0
"7","Tuesday","FMLA",0
"8","Tuesday","LEAVE",4
"9","Tuesday","SICK",3
"10","Tuesday","VACATION",4
"11","Wednesday","EMERGENCY",0
"12","Wednesday","FMLA",0
"13","Wednesday","LEAVE",4
"14","Wednesday","SICK",4
"15","Wednesday","VACATION",2
"16","Thursday","EMERGENCY",0
"17","Thursday","FMLA",0
"18","Thursday","LEAVE",5
"19","Thursday","SICK",6
"20","Thursday","VACATION",1
"21","Friday","EMERGENCY",0
"22","Friday","FMLA",0
"23","Friday","LEAVE",4
"24","Friday","SICK",0
"25","Friday","VACATION",6
