"","Day","Type","Value"
"1","Monday","EMERGENCY",0
"2","Monday","FMLA",2
"3","Monday","LEAVE",0
"4","Monday","SICK",3
"5","Monday","VACATION",3
"6","Tuesday","EMERGENCY",0
"7","Tuesday","FMLA",1
"8","Tuesday","LEAVE",0
"9","Tuesday","SICK",3
"10","Tuesday","VACATION",1
"11","Wednesday","EMERGENCY",0
"12","Wednesday","FMLA",0
"13","Wednesday","LEAVE",2
"14","Wednesday","SICK",3
"15","Wednesday","VACATION",1
"16","Thursday","EMERGENCY",0
"17","Thursday","FMLA",1
"18","Thursday","LEAVE",1
"19","Thursday","SICK",1
"20","Thursday","VACATION",2
"21","Friday","EMERGENCY",0
"22","Friday","FMLA",1
"23","Friday","LEAVE",0
"24","Friday","SICK",2
"25","Friday","VACATION",3
